sample,question,ground_truth,raw_prediction,prediction,correct,question_type
184,Has a new sidewalk been constructed along the street in the southwestern section of the residential development?,Yes,Yes,yes,True,Yes/No
185,"In the southeastern corner of the area, has the tree been removed and replaced by a building structure?",Yes,Yes,yes,True,Yes/No
186,"Looking at the upper right portion of the area, what transformation has taken place regarding the trees and vegetation?  **A)** The trees have grown significantly taller and denser. **B)** The vegetation was removed to accommodate new residential construction. **C)** The area was paved over to create a tennis court. **D)** A new forest trail was cut through the thicket.",B,B,b,True,Multiple Choice
187,Is there any detectable anomaly in the scene's global configuration when comparing these two images?,No,Yes,yes,False,Yes/No
188,"Has a new residential building been constructed in the southern portion of the area, replacing what was previously an open field?",Yes,Yes,yes,True,Yes/No
189,"Has a new residential building been constructed in the southeastern corner of the image, appearing at the end of the row of houses?",Yes,Yes,yes,True,Yes/No
190,"In the center-left portion of the area, has a new residential building been constructed on the previously vacant land located along the western side of the north-south street?",Yes,Yes,yes,True,Yes/No
191,What has happened to the building located at the end of the driveway in the northwest corner of the image?  **A)** A new wing was added to the existing structure. **B)** The building was demolished. **C)** The roof was repainted from white to dark green. **D)** The building was converted into a larger parking lot.,B,B,b,True,Multiple Choice
192,"In the upper right corner of the image, near the end of the newly developed cul-de-sac, what change has occurred regarding the sidewalk?  **A)** A section of the sidewalk was demolished. **B)** A new sidewalk was constructed along the edge of the road. **C)** The sidewalk was widened to accommodate a bike lane. **D)** The sidewalk was replaced by a grassy median.",B,B,b,True,Multiple Choice
193,What change occurred in the middle-left portion of the area between the two images?  **A)** A building was demolished and replaced with a road. **B)** A new residential house was constructed on previously vacant land. **C)** A large forest was cleared to create an open field. **D)** An existing house underwent a major roof renovation.,B,B,b,True,Multiple Choice
194,"Looking at the lot on the east side of the road leading to the cul-de-sac, just north of the horizontal road, what change has occurred between the first and second image?  **A)** A new building has been constructed. **B)** An existing building has been demolished. **C)** The land has been converted into a public park. **D)** A parking lot has been added.",A,A,a,True,Multiple Choice
195,Has a bright white shipping container appeared at the northern end of a residential lot in the northeast corner of the park?,Yes,Yes,yes,True,Yes/No
196,"Looking at the lower-central portion of the images on the right side of the road, what change can be observed in the vacant lot situated between the neighboring properties?  **A)** A house has been demolished. **B)** A new building has been constructed. **C)** A parking lot was paved over the area. **D)** The land has remained vacant with no changes.",B,D,d,False,Multiple Choice
197,"In the upper right quadrant of the images, has a residential building been constructed on land that was previously covered by a dense canopy of trees?",Yes,Yes,yes,True,Yes/No
198,"In the southeast quadrant of the images, what development can be observed?  **A)** A parking lot and industrial structure were built on formerly undeveloped ground. **B)** A cluster of trees was removed to make way for a small pond. **C)** A previously paved parking lot was excavated and returned to its natural state. **D)** A large multi-story office building was constructed in place of a dirt lot.",A,A,a,True,Multiple Choice
199,"In the top-left quadrant of the image, has a new building with a red-toned roof and a surrounding parking lot been constructed on land that was previously covered in trees and scrub?",Yes,Yes,yes,True,Yes/No
200,Has a new residential building been constructed on the previously vacant lot located to the west of the existing row of houses along the curved street?,Yes,Yes,yes,True,Yes/No
201,"Has a new residential building with a multi-gabled roof been constructed on the eastern edge of the property, where there was previously an open dirt area?",Yes,Yes,yes,True,Yes/No
202,"In the bottom right-hand corner of the images, what change has occurred regarding the paved road?  **A)** It was demolished. **B)** It was constructed. **C)** It was widened. **D)** It was rerouted.",B,A,a,False,Multiple Choice
203,What change occurred to the sidewalk at the street corner in the upper left portion of the images?  **A)** It was widened to accommodate more foot traffic. **B)** It was demolished during the development of the corner lot. **C)** It was repaved with a darker asphalt material. **D)** It was extended to connect with the neighboring driveway.,B,B,b,True,Multiple Choice
204,"Has a cluster of trees emerged in the northern portion of the property, replacing the small buildings that were previously situated there?",Yes,Yes,yes,True,Yes/No
205,"In the lower right corner of the area shown, adjacent to the road, what change has occurred regarding the tree?  **A)** It was planted. **B)** It was removed. **C)** It was damaged by construction. **D)** It was relocated to a different lot.",A,B,b,False,Multiple Choice
206,"Focusing on the property in the bottom-left corner of the images, what change can be observed regarding the tree in its front yard?  **A)** The tree has been removed and replaced with a paved area. **B)** The tree was replaced with several smaller shrubs. **C)** The tree has grown significantly in size and canopy density. **D)** A new building extension has been built over the tree's location.",C,A,a,False,Multiple Choice
207,What notable change occurred to the area adjacent to the cul-de-sac in the bottom right corner between the first and second images?  **A)** The land was cleared to make way for a parking lot. **B)** Multiple new residential buildings were constructed. **C)** A large industrial warehouse was built on the site. **D)** The area was converted into a public park with several ponds.,B,A,a,False,Multiple Choice
208,"Has a new residential building been constructed in the southwestern portion of the neighborhood, situated along the southern edge of the developed complex?",Yes,Yes,yes,True,Yes/No
209,"What change occurred to the tree located in the front yard of the third house from the top, on the eastern side of the curved road?  **A)** A new tree was planted. **B)** The tree was removed. **C)** The tree's foliage became much denser. **D)** The tree was moved closer to the sidewalk.",B,B,b,True,Multiple Choice
210,"Has a new house been constructed in the southwestern part of the residential block, situated just south of the white pedestrian path?",Yes,Yes,yes,True,Yes/No
211,What change has occurred to the plot of land located in the upper-left corner of the area?  **A)** A building has been demolished. **B)** A new residential building has been constructed. **C)** A large swimming pool was installed. **D)** The area was paved for a new road.,B,D,d,False,Multiple Choice
212,"Has a new building with a flat white roof been constructed in the upper-left section of the area, replacing what was previously open land?",Yes,Yes,yes,True,Yes/No
213,"Has a new house been constructed in the northwest corner of the residential neighborhood, along the road in the top-left of the image?",Yes,Yes,yes,True,Yes/No
214,"Has a new residential building been constructed in the top right quadrant of the area, replacing what was previously open land with sparse vegetation?",Yes,Yes,yes,True,Yes/No
215,"Look at the northeast corner of the images, specifically at the area adjacent to the road. What change occurred to the sidewalk there?  **A)** It was demolished and replaced with dirt. **B)** It was newly paved as the neighborhood was developed. **C)** It was significantly narrowed to allow for road widening. **D)** It was replaced by a series of small shrubs.",B,C,c,False,Multiple Choice
216,Has a new tree been planted in the front yard of the house situated on the eastern side of the diagonal road in the upper-right quadrant of the image?,Yes,Yes,yes,True,Yes/No
217,Has a new house been constructed on the corner plot in the upper-left quadrant of the residential area?,Yes,Yes,yes,True,Yes/No
218,"In the northwest corner of the image, has a concrete sidewalk been newly constructed along the curb of the residential road?",Yes,Yes,yes,True,Yes/No
219,Has a new residential building been constructed in the top-left corner of the property?,Yes,No,no,False,Yes/No
220,"In the eastern portion of the neighborhood, has a small tree in the front yard of a house located on the outer bend of the curved road grown significantly to have a much larger and denser canopy?",Yes,Yes,yes,True,Yes/No
221,"Looking at the front yard of the third house from the bottom on the right side of the street, what change can be observed regarding the vegetation?  **A)** A large tree was removed. **B)** A new tree was planted. **C)** The lawn was replaced with pavement. **D)** A garden bed was demolished.",B,A,a,False,Multiple Choice
222,"What change occurred to the area located on the western side of the cul-de-sac between the two images?  **A)** A new residential building was constructed. **B)** A building was demolished, leaving an empty lot. **C)** Extensive landscaping and tree planting took place. **D)** A large commercial structure was added to the neighborhood.",A,B,b,False,Multiple Choice
223,Has a tree been planted in the front yard of the residence located along the western side of the street?,Yes,Yes,yes,True,Yes/No
224,"In the northwest portion of the images, situated on the outer edge of the curved road, what change can be observed regarding the tree at that location?  **A)** It was removed during construction. **B)** It was newly planted. **C)** It was significantly damaged by a storm. **D)** It was replaced by a residential building.",B,A,a,False,Multiple Choice
225,"Has a new residential building been constructed in the southwestern portion of the image, replacing a previously wooded area south of the main road?",Yes,Yes,yes,True,Yes/No
226,Has the tree that was located to the northwest of the residence in the bottom-left corner of the image been removed?,Yes,Yes,yes,True,Yes/No
227,"Has a new building been constructed in the northwest corner of the site, adjacent to the new residential road?",Yes,Yes,yes,True,Yes/No
228,What change occurred to the building located in the upper right section of the images?  **A)** A new building was constructed where there was previously open land. **B)** The building was demolished and the site was cleared. **C)** A large extension was added to the existing building. **D)** The building was renovated and the roof color was changed.,A,A,a,True,Multiple Choice
229,"In the northern part of the property, situated between the open dirt lot and the side road to the east of the parking area, what change has occurred to the vegetation?  **A)** Several trees were planted. **B)** All trees in the area were removed. **C)** The trees were replaced with a decorative fence. **D)** A small utility shed was built where the trees once stood.",A,B,b,False,Multiple Choice
230,"In the upper right portion of the images, just to the east of the diagonal road, what change occurred to the vegetation that was present in the first image?  **A)** It was pruned. **B)** It was demolished. **C)** It was replaced by a shed. **D)** It grew significantly taller.",B,B,b,True,Multiple Choice
231,"In the northwestern corner of the area, adjacent to the residential buildings, what change has occurred regarding the swimming pool?  **A)** It was demolished. **B)** It was recently constructed. **C)** It was covered with a tarp. **D)** It was converted into a garden.",B,B,b,True,Multiple Choice
232,"Near the street intersection in the bottom right corner of the area, what change is visible regarding the tree?  **A)** It was removed. **B)** It was planted. **C)** It was moved to the backyard. **D)** It was pruned significantly.",B,B,b,True,Multiple Choice
233,"Focusing on the plot in the north-central part of the residential area, just to the west of the curved cul-de-sac, what change has taken place?  **A)** A building was completely demolished. **B)** A new residential structure was built. **C)** The building was converted into a playground. **D)** A large extension was added to an existing house.",B,B,b,True,Multiple Choice
234,What change has occurred on the vacant lot located at the end of the street on the right side of the images?  **A)** A new residential building has been constructed. **B)** The lot has been cleared of existing structures to become an empty field. **C)** A large community playground has been installed. **D)** The area has been paved over to create an extension of the road.,A,B,b,False,Multiple Choice
235,"Has a new residential building been constructed in the middle-left section of the image, within the westernmost row of the newly developed housing block?",Yes,Yes,yes,True,Yes/No
236,"Looking at the area along the side of the road in the center-right of the images, what change happened to the sidewalk?  **A)** It was demolished and replaced with dirt. **B)** It was newly constructed. **C)** It was widened to accommodate more pedestrians. **D)** It was relocated to the other side of the street.",B,B,b,True,Multiple Choice
237,What change occurred to the vegetation in the front yard of the house located near the bottom center of the images?  **A)** A large tree was cut down. **B)** The grass was replaced with pavement. **C)** New trees have grown or been planted. **D)** A swimming pool was installed.,C,C,c,True,Multiple Choice
238,"Has a new residential building been constructed in the middle-right section of the image, on the eastern side of the diagonal road that runs through the neighborhood?",Yes,Yes,yes,True,Yes/No
239,"Has a new building been constructed in the northeastern portion of the image, situated on the eastern side of the main curved road?",Yes,Yes,yes,True,Yes/No
240,What has occurred at the site located in the northwest corner of the image?  **A)** A building has been demolished. **B)** A new building has been constructed. **C)** A building was replaced with a parking lot. **D)** A building underwent a complete renovation.,B,A,a,False,Multiple Choice
241,Is there any detectable anomaly or global alteration between these two scene captures?,No,Yes,yes,False,Yes/No
242,"Has a new residential building been constructed in the northwest quadrant of the area, replacing what was previously undeveloped grassy land?",Yes,Yes,yes,True,Yes/No
243,Has a sidewalk been constructed along the street corner in the middle-left portion of the residential neighborhood?,Yes,Yes,yes,True,Yes/No
244,What change occurred to the swimming pool located in the backyard of the house in the northeast corner of the neighborhood?  **A)** It was newly constructed. **B)** It was demolished. **C)** It was expanded in size. **D)** It was covered by a new structure.,B,B,b,True,Multiple Choice
245,"Has a new building been constructed in the southeastern portion of the area, situated within a newly developed residential block on land that was previously open field?",Yes,Yes,yes,True,Yes/No
246,Is there a newly planted tree in the eastern side yard of the house located at the far right end of the street in the foreground?,Yes,Yes,yes,True,Yes/No
247,Has a newly constructed sidewalk appeared along the far eastern perimeter of the residential development?,Yes,Yes,yes,True,Yes/No
248,"Focusing on the front lawn of the house located at the street curve on the eastern side of the image, what change has occurred to the tree there between the two time periods?  **A)** The tree has grown significantly. **B)** The tree was removed and replaced with grass. **C)** The tree was replaced by a paved driveway. **D)** A second, identical tree was planted next to the first one.",A,A,a,True,Multiple Choice
249,"Looking at the area near the bottom-left corner of the images, what happened to the vegetation that was originally there?  **A)** It was removed to make room for the highway. **B)** It was transplanted to the opposite side of the road. **C)** It was covered by a new building structure. **D)** It remained untouched during the construction process.",A,A,a,True,Multiple Choice
250,Has a new zebra-striped crosswalk been added to the road branch extending eastward from the intersection in the southern section of the image?,Yes,Yes,yes,True,Yes/No
251,"In the eastern section of the area, to the right of the main road, has a large new residential building been constructed?",Yes,Yes,yes,True,Yes/No
252,"Looking at the top center portion of the images, what major development has occurred between the first and second frames?  **A)** A large building complex has been constructed. **B)** A new park with walking trails has been established. **C)** The area has been cleared of all structures to create an open field. **D)** A new highway has been paved through the center of the plot.",A,A,a,True,Multiple Choice
253,"What occurred to the building structure located in the western portion of the images?  **A)** A new building was constructed on previously empty land. **B)** The building was completely demolished to make way for a park. **C)** The building's footprint remained the same, but its orientation was changed. **D)** The building was expanded with a large addition to the rear.",A,A,a,True,Multiple Choice
254,"In the southeast corner of the image, on the front lawn of the residence adjacent to the street, what change can be observed regarding the tree at that location?  **A)** It was demolished. **B)** It was planted. **C)** It was relocated to the backyard. **D)** It was replaced by a garden bed.",B,A,a,False,Multiple Choice
255,Has a new residential building been constructed in the western section of the residential development on land that was previously vacant?,Yes,Yes,yes,True,Yes/No
256,"Has a new, light-colored driveway been constructed along the far western edge of the property, where there was previously only rough, undeveloped terrain?",Yes,Yes,yes,True,Yes/No
257,"In the lower-left portion of the imagery, south of the two large houses visible in the first frame and adjacent to the road, what change occurred to the tree that was originally in that location?  **A)** It was preserved as part of a new public park. **B)** It was removed to make way for the construction of a new house and yard. **C)** It was replaced by a decorative fountain. **D)** It was significantly pruned to clear a path for power lines.",B,B,b,True,Multiple Choice
258,Have new curved sidewalks been constructed along both sides of the paved road that now traverses the central and lower sections of the landscape?,Yes,Yes,yes,True,Yes/No
259,"Looking at the residential area in the bottom right corner of the image, what change has occurred between the two time periods?  **A)** A house has been constructed on previously vacant land. **B)** An existing building has been demolished. **C)** A swimming pool has been added to the backyard of a house. **D)** The surrounding vegetation has been cleared for a new road.",A,A,a,True,Multiple Choice
260,Has a paved sidewalk been constructed along the northern edge of the roadway in the southern section of the residential area?,Yes,Yes,yes,True,Yes/No
261,"Has a new residential building been constructed on the previously vacant lot in the upper right quadrant of the image, adjacent to the vertical road?",Yes,Yes,yes,True,Yes/No
262,What change is observed regarding the unpaved road located on the eastern side of the main diagonal highway?  **A)** It was paved and extended. **B)** It was demolished. **C)** It was widened to accommodate more traffic. **D)** It was relocated further to the north.,B,A,a,False,Multiple Choice
263,"In the northwestern portion of the image, along the side of the road, what change has occurred regarding the sidewalk?  **A)** A sidewalk was constructed. **B)** The sidewalk was demolished. **C)** The sidewalk was relocated to the center of the road. **D)** The sidewalk was replaced by a drainage ditch.",A,A,a,True,Multiple Choice
264,"Has a new residential building been constructed on the eastern side of the road, just north of the other houses in that row?",Yes,Yes,yes,True,Yes/No
265,"Has a new residential building been constructed in the top-left quadrant of the area, replacing what was previously undeveloped land with sparse vegetation?",Yes,Yes,yes,True,Yes/No
266,"Looking at the upper-left portion of the images, what change can be observed on the north side of the road that extends towards the left from the central intersection?  **A)** A new sidewalk was constructed. **B)** A sidewalk was demolished and replaced with grass. **C)** The existing sidewalk was widened. **D)** A row of trees was planted where the sidewalk used to be.",A,D,d,False,Multiple Choice
267,Has a newly constructed paved sidewalk appeared along the eastern side of the street in the southeastern portion of the image?,Yes,Yes,yes,True,Yes/No
268,"In the upper-right quadrant of the images, what significant development has taken place?  **A)** A residential structure has been demolished. **B)** A new residential building has been constructed. **C)** A swimming pool was removed from the property. **D)** The area was converted from a residential lot to a forested park.",B,B,b,True,Multiple Choice
269,Has a new residential building been constructed in the upper-left quadrant on the previously vacant lot north of the horizontal road?,Yes,Yes,yes,True,Yes/No
270,"Has a new building been constructed in the southern section of the area, where there was previously a dense cluster of trees?",Yes,Yes,yes,True,Yes/No
271,"What significant change is visible on the eastern side of the area, to the right of the diagonal dirt path?  **A)** A new building was constructed. **B)** A swimming pool was installed. **C)** The forest was cleared for a new fairway. **D)** A new sand bunker was added.",A,A,a,True,Multiple Choice
272,"Has a new paved road, in the form of a cul-de-sac, been constructed in the southeastern portion of the image where there was previously an open field?",Yes,Yes,yes,True,Yes/No
273,"Has the tree located in the bottom-left corner, situated along the sidewalk south of the main road, grown significantly in size and foliage?",Yes,No,no,False,Yes/No
274,"Looking at the area on the western side of the neighborhood near the street corner, what significant change has occurred?  **A)** A new residential building was constructed. **B)** A commercial building was demolished. **C)** A swimming pool was installed in the backyard. **D)** A forest area was cleared for a park.",A,A,a,True,Multiple Choice
275,Has a paved sidewalk been constructed along the western edge of the curved main road on the left side of the image?,Yes,Yes,yes,True,Yes/No
276,"In the lower-left region of the images, south of the main horizontal road, what change occurred involving the land use?  **A)** A new parking lot was constructed where there was previously vegetation. **B)** A parking lot was demolished and replaced with trees. **C)** The existing parking lot was expanded to cover more area. **D)** A parking lot was converted into a residential building site.",A,A,a,True,Multiple Choice
277,"In the bottom right corner of the images, what change has occurred to the land?  **A)** A new residential building was constructed. **B)** A community park was established. **C)** A commercial shopping center was built. **D)** A large pond was excavated.",A,A,a,True,Multiple Choice
278,"In the lower portion of the images, near the corner property where the curved road meets the diagonal thoroughfare, what change has occurred to the sidewalk?  **A)** The sidewalk was removed and replaced with grass. **B)** A new sidewalk was constructed or repaved with bright concrete. **C)** The sidewalk was widened significantly. **D)** The sidewalk was rerouted away from the main road.",B,C,c,False,Multiple Choice
279,"Along the westernmost edge of the parking lot, have several trees been planted within the narrow islands that separate the parking stalls from the perimeter road?",Yes,Yes,yes,True,Yes/No
280,Has a tree been planted in the backyard of the northernmost house located on the western edge of the residential block?,Yes,Yes,yes,True,Yes/No
281,"Has a new, light-colored sidewalk been constructed along the edge of the road in the mid-western section of the residential neighborhood?",Yes,Yes,yes,True,Yes/No
282,"Observing the northwestern corner of the provided satellite images, what significant change has occurred at that location?  **A)** A building was demolished, leaving an empty lot. **B)** A building was constructed where there was previously vegetation. **C)** The roof of the existing building was replaced with solar panels. **D)** A large storage shed was removed from the property.",B,B,b,True,Multiple Choice
283,"Has a new building been constructed in the southeastern corner of the area, situated at the intersection of the two roads?",Yes,No,no,False,Yes/No
284,"What change has occurred at the location in the lower-left corner of the area, near the end of the residential street?  **A)** A previously existing building was demolished. **B)** A new residential building was constructed. **C)** A parking lot was paved over a green space. **D)** A large swimming pool was added to the yard.",B,B,b,True,Multiple Choice
285,"In the lower-left corner of the images, what change occurred involving a building at that specific location?  **A)** A building was demolished. **B)** A building was constructed. **C)** A building underwent a major renovation. **D)** A building was partially destroyed.",B,B,b,True,Multiple Choice
286,"Looking at the northwest corner of the residential neighborhood, what change has occurred between the first and second images?  **A)** A large structure was demolished. **B)** A new house was constructed on a previously vacant lot. **C)** A paved parking lot was added to the area. **D)** The existing building underwent a major roof renovation.",B,B,b,True,Multiple Choice
287,Has a new sidewalk been constructed around the circular end of the cul-de-sac located in the northwest quadrant of the image?,Yes,Yes,yes,True,Yes/No
288,"Is there a newly constructed sidewalk running along the back edge of the residential properties in the northern half of the image, bordering the main road?",Yes,Yes,yes,True,Yes/No
289,What change has occurred to the building located in the southeastern part of the image?  **A)** It was demolished. **B)** A new building has been constructed. **C)** The roof was replaced. **D)** An addition was built onto the original structure.,B,B,b,True,Multiple Choice
290,"Has a new building been constructed in the western portion of the site, located near the curved pedestrian path and adjacent to the row of trees on the left?",Yes,Yes,yes,True,Yes/No
291,What change has occurred at the location at the end of the cul-de-sac on the left side of the images?  **A)** A new building was constructed. **B)** An existing house was demolished. **C)** A swimming pool was added to the property. **D)** The roof of the house was replaced with different materials.,A,C,c,False,Multiple Choice
292,"Has a new building been constructed in the top-left portion of the image, north of the winding path?",Yes,Yes,yes,True,Yes/No
293,"Has a new tree appeared in the front yard of the house in the bottom-right portion of the residential area, near the sidewalk?",Yes,Yes,yes,True,Yes/No
294,"At the street intersection in the top right corner of the image, what change has occurred to the sidewalk?  **A)** A new sidewalk was constructed. **B)** The sidewalk was demolished. **C)** A tree was planted on the sidewalk corner. **D)** The sidewalk was narrowed.",A,B,b,False,Multiple Choice
295,"Looking at the area in the bottom left corner of the images, what significant change has occurred?  **A)** A building has been demolished. **B)** A new building has been constructed. **C)** The existing building's roof was repainted. **D)** A large tree was removed from the yard.",B,A,a,False,Multiple Choice
296,"Is there a newly constructed swimming pool in the backyard of the residence located in the top-left quadrant of the image, adjacent to the golf course?",Yes,Yes,yes,True,Yes/No
297,Has a sidewalk been newly constructed along the edge of the street in the northern part of the residential neighborhood?,Yes,Yes,yes,True,Yes/No
298,What change occurred to the sidewalk located on the western side of the road in the northwestern part of the image?  **A)** It was newly constructed. **B)** It was demolished. **C)** It was widened. **D)** It was painted with a crosswalk.,B,C,c,False,Multiple Choice
299,What change is observed regarding the sidewalk at the end of the cul-de-sac in the bottom center of the second image compared to the first?  **A)** A new sidewalk has been constructed. **B)** An existing sidewalk has been demolished. **C)** A sidewalk was relocated to a different part of the street. **D)** A sidewalk was widened to accommodate a larger driveway.,A,A,a,True,Multiple Choice
300,"Has the tree situated on the eastern edge of the property, to the right of the main residential building, been removed?",Yes,Yes,yes,True,Yes/No
301,"Looking at the lower-left section of the area, what change is visible regarding the sidewalk?  **A)** It was newly constructed along the newly built road. **B)** It was demolished and replaced with a patch of dirt. **C)** It was widened to accommodate more pedestrians. **D)** It was repaved with a darker asphalt material.",A,D,d,False,Multiple Choice
302,Has a new building with a dark grey roof and a concrete driveway been constructed in the upper-left corner of the image?,Yes,Yes,yes,True,Yes/No
303,"In the northeastern section of the image, has a new residential building been constructed where there was previously undeveloped land?",Yes,Yes,yes,True,Yes/No
304,"Has a small tree located at the end of a parking row in the southern part of the parking lot, near the grassy border, grown significantly larger and fuller in the second image?",Yes,Yes,yes,True,Yes/No
305,What change can be observed regarding the development in the southeast portion of the images?  **A)** A residential building has been newly constructed. **B)** A pre-existing structure was demolished. **C)** The roof of an old building was completely replaced. **D)** An industrial site was cleared to create a vacant lot.,A,A,a,True,Multiple Choice
306,Is there any observable discrepancy in the scene composition between the two temporal instances?,No,No,no,True,Yes/No
307,"Looking at the central area of the first image, what change occurred to the group of trees located there?  **A)** They were preserved and became part of a public park. **B)** They were cleared to make room for a street and residential development. **C)** They were replaced by a larger, more dense forest area. **D)** They were converted into a large commercial parking lot.",B,B,b,True,Multiple Choice
308,What change occurred to the cluster of trees located in the center-right portion of the first image?  **A)** They were cleared to facilitate the construction of a residential neighborhood. **B)** They were replaced by a large commercial warehouse and parking lot. **C)** They were incorporated into a new public park with several walking trails. **D)** They were destroyed by a wildfire and the land remains undeveloped.,A,A,a,True,Multiple Choice
309,"In the backyard area of the newly developed property on the western edge of the neighborhood, bordering the open green space, what change can be observed regarding the tree at that location?  **A)** A tree was planted. **B)** A tree was removed. **C)** A tree was replaced by a brick patio. **D)** A tree was significantly pruned.",A,B,b,False,Multiple Choice
310,Has a new paved sidewalk been constructed along the horizontal road at the northern edge of the image?,Yes,Yes,yes,True,Yes/No
311,"What change is observed regarding the sidewalk located along the northern edge of the street, in front of the house near the corner?  **A)** The sidewalk was demolished to increase the size of the lawn. **B)** A new section of sidewalk was constructed where there was previously open ground. **C)** The existing sidewalk was repaved with a different color of concrete. **D)** The sidewalk was narrowed to allow for a wider street.",B,B,b,True,Multiple Choice
312,"Looking at the bottom-left corner of the area, what change can be observed between the first and second images?  **A)** A residential building was demolished. **B)** A new house was constructed on previously cleared land. **C)** The area was paved to create a parking lot. **D)** A large section of forest was cleared for agriculture.",B,B,b,True,Multiple Choice
313,"In the southern portion of the image, near the curve of the road, has a new residential building been constructed on a plot that was previously undeveloped and covered with trees?",Yes,Yes,yes,True,Yes/No
314,"In the southeast corner of the area, what change is visible between the two images?  **A)** A building has been constructed. **B)** A building has been demolished. **C)** The parking lot was repaved. **D)** New trees were planted.",A,A,a,True,Multiple Choice
315,"What change can be observed regarding the vegetation in the front yard of the house located on the upper side of the street, roughly in the middle-left of the images?  **A)** A tree was removed. **B)** A tree was planted. **C)** A garden bed was paved over. **D)** The lawn was replaced with gravel.",B,B,b,True,Multiple Choice
316,"What happened to the vegetation in the northwest section of the parking lot, bordering the open field?  **A)** A tree was removed. **B)** A tree was planted. **C)** The grass was replaced with gravel. **D)** A new driveway was paved.",B,A,a,False,Multiple Choice
317,"In the bottom-left corner of the residential area, has a new building been constructed on land that was previously occupied by trees?",Yes,Yes,yes,True,Yes/No
318,"In the lower-left portion of the imagery, there is a residential lot located near the curve of the road. What change can be observed regarding the tree in the front yard of this property?  **A)** It was planted. **B)** It was removed. **C)** It was relocated to the side of the house. **D)** It was replaced with a stone path.",A,B,b,False,Multiple Choice
319,"Has a new residential building been constructed on the eastern side of the primary north-south road, in the previously undeveloped area near the center of the image?",Yes,Yes,yes,True,Yes/No
320,"On the far left side of the image, what change occurred to the paved road between the two time periods?  **A)** The road was completely demolished and replaced with soil. **B)** The road was narrowed to half its original width. **C)** Lane markings were added to the previously unmarked road surface. **D)** The road was converted from a paved surface to a gravel path.",C,C,c,True,Multiple Choice
321,"Has the tree in the southeastern part of the area, situated near the junction of the dirt paths, been removed?",Yes,Yes,yes,True,Yes/No
322,"In the lower section of the image, what change has occurred to the paved road?  **A)** It has been widened and converted into a divided highway with a median. **B)** It was removed to make way for new vegetation. **C)** It was transformed into a pedestrian walkway with a gravel surface. **D)** The original road was repaved with dark asphalt, maintaining its single-lane width.",A,A,a,True,Multiple Choice
323,"Has the tree located in the southwest corner of the residential area, adjacent to the fenced-in yard, been removed and replaced by a small structure?",Yes,Yes,yes,True,Yes/No
324,"What change can be observed at the location in the northwestern part of the area, situated north of the curving residential street?  **A)** A building was demolished and replaced with a parking lot. **B)** A new residential building was constructed on previously vacant land. **C)** An existing house was renovated with a new roof color. **D)** A large tree was removed to make way for a swimming pool.",B,B,b,True,Multiple Choice
325,"Has a new residential building been constructed in the northeastern section of the image, situated on the eastern side of the north-south running road?",Yes,Yes,yes,True,Yes/No
326,"Has a new residential building been constructed in the central-western part of the neighborhood, situated along the street that runs diagonally through the area?",Yes,No,no,False,Yes/No
327,"Looking at the top center of the image, east of the pond, what change has occurred over time?  **A)** A new residential building was constructed. **B)** A building was demolished and replaced with trees. **C)** A swimming pool was filled in and covered with grass. **D)** A new road was built through the wooded area.",A,A,a,True,Multiple Choice
328,"Has a residential building been constructed on the plot of land located in the lower-central section of the images, near the curved road?",Yes,Yes,yes,True,Yes/No
329,"In the middle-right area of the image, along the side of the diagonal residential road, what change has occurred to the sidewalk?  **A)** The sidewalk was demolished. **B)** A new sidewalk was constructed. **C)** The sidewalk was significantly widened. **D)** A sidewalk was replaced by a row of trees.",B,C,c,False,Multiple Choice
330,What change occurred to the property located at the far left end of the residential street at the bottom of the image?  **A)** A house was constructed on a previously empty lot. **B)** The building was demolished and replaced with a park. **C)** An existing house was expanded with a new wing. **D)** The property was converted into a paved parking area.,A,A,a,True,Multiple Choice
331,Is there a newly constructed building in the top right corner of the area that was previously vacant land?,Yes,Yes,yes,True,Yes/No
332,Has a sidewalk been constructed along the curve of the road bordering the property in the lower central and southeastern portion of the image?,Yes,Yes,yes,True,Yes/No
333,"Has a new building been constructed in the southwest corner of the area, situated along the bottom-most road?",Yes,Yes,yes,True,Yes/No
334,"Has a new tree appeared in the western section of the image, situated just to the left of the winding white walkway?",Yes,Yes,yes,True,Yes/No
335,What change can be observed in the backyard of the residence located on the east side of the cul-de-sac?  **A)** a swimming pool was demolished **B)** a swimming pool was constructed **C)** a new driveway was paved **D)** a garden was removed,B,B,b,True,Multiple Choice
336,"Has the small tree located in the western section of the field, south of the larger cluster of vegetation, been removed and replaced by the roof of a newly constructed house?",Yes,No,no,False,Yes/No
337,"In the southeastern quadrant of the image, has a small tree been planted in the front yard of a newly constructed house, where there was previously undeveloped terrain?",Yes,Yes,yes,True,Yes/No
338,"Has the building located in the upper right portion of the image, situated north of the main diagonal road, been removed or demolished?",Yes,Yes,yes,True,Yes/No
339,"Looking at the area in the bottom center of the image, situated just north of the wooded section and near a curve in the road, what change has occurred between the two images?  **A)** A building was demolished. **B)** A building was constructed. **C)** The building was relocated to the opposite side of the road. **D)** The building was enlarged with an additional wing.",B,B,b,True,Multiple Choice
